code,description
i6430,"a small motor for a remote-controlled car"
i7029,"Steel combat knife with serrated edge and cracked handle"
i4796,"Reactor fuel cassette stored in regulation shielding canister, fully certified"
i6047,"Reactor fuel cassette with experimental thorium-based fuel composition"
i3685,"Portable oscilloscope with cracked screen but working internals"
i6358,"Tangle of fiber optic cables with connectors still attached"
i8450,"Collapsible baton made of hardened steel"
i8549,"Voltage regulator board stripped from a military-grade UPS system"
i9671,"Mechanical pressure gauge rated up to 300 PSI, still accurate"
i7628,"Transformer core from a substation, weighs about 90 kilograms"
